State,short,popseat,pop,reps,
Alabama,AL,694140,4863300,7,
Alaska,AK,741894,741894,1,
American Samoa,SM,0,54343,-1,
Arizona,AZ,758674,6931071,9,
Arkansas,AR,744551,2988248,4,
California,CA,738581,39250017,53,
Colorado,CO,779511,5540545,7,
Connecticut,CT,718177,3576452,5,
Delaware,DE,952065,952065,1,
District of Columbia,DC,0,681170,-1,
Florida,FL,750788,20612439,27,
Georgia,GA,729633,10310371,14,
Guam,GU,0,161785,-1,
Hawaii,HI,715802,1428557,2,
Idaho,ID,827465,1683140,2,
Illinois,IL,714444,12801539,18,
Indiana,IN,735520,6633053,9,
Iowa,IA,780975,3134693,4,
Kansas,KS,727910,2907289,4,
Kentucky,KY,737515,4436974,6,
Louisiana,LA,778454,4681666,6,
Maine,ME,664664,1331479,2,
Maryland,MD,750800,6016447,8,
Massachusetts,MA,754936,6811779,9,
Michigan,MI,708755,10001045,14,
Minnesota,MN,686199,5519952,8,
Mississippi,MS,748083,2988726,4,
Missouri,MO,760459,6093000,8,
Montana,MT,1032949,1042520,1,
Nebraska,NE,632063,1907116,3,
Nevada,NV,722711,2940058,4,
New Hampshire,NH,665304,1334795,2,
New Jersey,NJ,746501,8944469,12,
New Mexico,NM,695036,2081015,3,
New York,NY,733177,19745289,27,
North Carolina,NC,772523,10146788,13,
North Dakota,ND,756927,757952,1,
Northern Mariana Islands,NI,0,52344,-1,
Ohio,OH,725839,11646273,16,
Oklahoma,OK,782268,3923561,5,
Oregon,OR,805795,4093465,5,
Pennsylvania,PA,711250,12784227,18,
Puerto Rico,PR,0,3411307,-1,
Rhode Island,RI,528149,1056426,2,
South Carolina,SC,699449,4961119,7,
South Dakota,SD,858469,865454,1,
Tennessee,TN,733367,6651194,9,
Texas,TX,763031,27862596,36,
U.S. Virgin Islands,VI,0,103574,-1,
Utah,UT,748083,3051217,4,
Vermont,VT,626042,624594,1,
Virginia,VA,762090,8411808,11,
Washington,WA,717035,7288000,10,
West Virginia,WV,614709,1831102,3,
Wisconsin,WI,721417,5778708,8,
Wyoming,WY,586107,585501,1,
